name;area_name;url;salary_from;salary_to;salary_cur;requirement;responsibility;employer;api
Web-программист - стажер;Алматы;https://hh.ru/vacancy/85628220;0;0;RUR;Знать теорию тестирования, что такое тест планы, чек листы и протокол тестирования, свободно владеть ЯП <highlighttext>Python</highlighttext>, быть приспособленным к монотонной...;Как правильно работать с git-ом в команде. Писать автотесты на базе Selenium/<highlighttext>Python</highlighttext> (тестировщик). Создавать web-дизайны для реальных...;Autodata;HH
Стажировка продуктовым аналитиком в команде путешествий;Москва;https://hh.ru/vacancy/85967938;;60000;RUR;Любовь к цифрам и табличкам. Знание SQL и <highlighttext>Python</highlighttext> хотя бы на базовом уровне. Умение говорить числами вместо гуманитарных эпитетов. ;Разобраться с нашим инструментарием и данными. Проверять продуктовые гипотезы: участвовать в исследованиях и АБ-тестированиях, анализировать результаты. Прогнозировать показатели компании...;Туту.ру;HH
Frontend;Краснодар;https://hh.ru/vacancy/86687911;70000;81000;RUR;Опыт написания скриптов на <highlighttext>Python</highlighttext> под FrontEnd. Уверенное владение HTML/CSS, JavaScript. Желателен опыт создания одностраничных приложений. Дополнительный плюс знание...;Разрабатывать новые инструменты автоматизации рабочих процессов. Поддерживать и совершенствовать существующие решения по автоматизации.;МТС;HH
Начинающий разработчик Python;Караганда;https://hh.ru/vacancy/86320517;0;0;RUR;Имели базовые знания работы с Linux (терминал). Умели работать с документацией к <highlighttext>Python</highlighttext> библиотекам. Были ответственными и самостоятельными. ;Освоение основ разработки чат-ботов и работы с API мессенджера Telegram. Изучение базовых концепций машинного обучения и глубокого обучения. ;SimpleCode;HH
Junior Python Developer;Екатеринбург;https://hh.ru/vacancy/86410407;40000;;RUR;Знание <highlighttext>Python</highlighttext> 3. Опыт работы с ORM (Django ORM, Peewee). Навыки работы с БД (PostgreSQL, Mongo). Будет плюсом: Навыки разработки...;Создание новых интересных фич. Поддержка текущей функциональности. Написание тестов. Оптимизация сервисов под высокие нагрузки. Стек технологий следующий:;Моушен Лоджик;HH
Junior backend-разработчик;Рязань;https://hh.ru/vacancy/86213456;30000;;RUR;Опыт работы с Go. Пройденный GoTour. Работа с git. Примеры проектов. Опыт создания HTTP-сервисов.;Создавать веб-сервисы, автоматизирующие маркетинг. Работать с высоконагруженными приложениями. Разрабатывать на Go, работать с SQL и NoSQL базами данных.;enKod;HH
Data scientist;Нижний Новгород;https://hh.ru/vacancy/86684667;0;0;RUR;Опыт участия в соревнованиях или других проектах. Уверенное владение Linux. Владение <highlighttext>python</highlighttext> в части анализа данных: pandas, numpy, sklearn, xgboost...;Подготавливать данные для обучения. Исследовать, подбирать и обучать наиболее подходящие алгоритмы ML и DL для решения задач. Проектировать инфраструктуру для...;ГК АГАТ;HH
Cтажер-разработчик Python/C# (Data Engineer);Москва;https://hh.ru/vacancy/86551216;35000;35000;RUR;Базовое знание <highlighttext>Python</highlighttext>, а также статически типизированного языка с ООП (C#, С++, Java и др.), предпочтительно .NET/C#. ;Net6+ везде, многое в k8s. Монолит — не легаси, поддерживаем на актуальном стеке и активно развиваем, 30...;Mindbox;HH
Junior python developer/data engineer;Нижний Новгород;https://hh.ru/vacancy/86316688;40000;80000;RUR;Уверенное знание <highlighttext>Python</highlighttext>, git, опыт работы со Scrapy. Знание ООП, Linux, умение разбираться в чужом коде. Нацеленность на результат, внимательность...;Разработка парсеров сайтов, участие в развитии продуктов компании.;IT-компания Lad;HH
Python-разработчик;Москва;https://hh.ru/vacancy/86685568;0;0;RUR;Будет плюсом умение писать автотесты, умение работать с асинхронным <highlighttext>python</highlighttext>, опыт работы с FastAPI, RabbitMQ, PostgreSQL, Docker. От кандидата ждем...;Улучшение, доработка существующего функционала магазина, развитие сервисов (оплата, доставка, работа склада) и инфраструктуры в целом.;Карнаухов Дмитрий Александрович;HH
