name;area_name;url;salary_from;salary_to;salary_cur;requirement;responsibility;employer;api
Junior Java-разработчик;Москва;https://hh.ru/vacancy/86416517;0;0;RUR;Законченное высшее образование. Понимание ООП. Знание <highlighttext>Java</highlighttext> 8. Знание Spring (Spring Boot, Spring JPA). Базовые знания по многопоточности. ;Техническое развитие проекта, исследование новых технологий и их интеграция. Участие в развитии архитектуры. Дополнять техническую документацию и инструкции.;Mediascope;HH
Стажёр тестировщик сайтов и мобильных приложений;Москва;https://hh.ru/vacancy/86500982;15000;30000;RUR;Понимание современных методологий тестирования. Умение разрабатывать и продумывать различные тест-кейсы и тест-планы. Широкий кругозор в области современных мобильных...;<highlighttext>Java</highlighttext>, React Js (для разработки систем). PHP (Bitrix), HTML, CSS, Js (для разработки сайтов). Swift, Kotlin (для Mobile). ;Nti.team;HH
Фронтенд разработчик (React);Новосибирск;https://hh.ru/vacancy/86737891;0;0;RUR;Опыт коммерческой разработки фронтенда от 2 лет. Уверенное знание JavaScript. Опыт написания Unit-тестов. Знание CSS. Умение работать с Git. ;Разрабатывать и поддерживать бизнес-функциональность продукта в составе платформы. Участвовать в проектировании архитектуры. Быть частью большой команды разработчиков различного уровня.;IBS;HH
Junior Java разработчик;Брянск;https://hh.ru/vacancy/86705347;35000;45000;RUR;...<highlighttext>Java</highlighttext> SE и опыт объектно-ориентированного программирования. Опыт работы с БД PostgreSQL. Знание любого из web фреймворков на базе <highlighttext>Java</highlighttext>. ;Разработка и сопровождение серверной части web сайтов и приложений для социальных сетей. Ведение трекера задач (redmine).;М-Сошал;HH
Java-разработчик;Москва;https://hh.ru/vacancy/86536757;0;0;RUR;Опыт работы с микросервисной архитектурой. Уверенное использование <highlighttext>Java</highlighttext> Stream Api. Базовое знание алгоритмов. Умение определять алгоритмическую сложность написанного кода. ;Принимать непосредственное участие в создании программного продукта и заниматься написанием кода для back-части. Принимать участие в обсуждении реализации задач...;Гаскар Интеграция;HH
Junior backend-разработчик;Рязань;https://hh.ru/vacancy/86213456;30000;;RUR;Опыт работы с Go. Пройденный GoTour. Работа с git. Примеры проектов. Опыт создания HTTP-сервисов.;Создавать веб-сервисы, автоматизирующие маркетинг. Работать с высоконагруженными приложениями. Разрабатывать на Go, работать с SQL и NoSQL базами данных.;enKod;HH
Программист Java;Москва;https://hh.ru/vacancy/86627290;130000;200000;RUR;Хорошие практические знания <highlighttext>Java</highlighttext>. Опыт работы с Spring, Hibernate, использования XML, JSON, git. Знание Linux на уровне пользователя. ;;Комтех-Н;HH
Cтажер-разработчик Python/C# (Data Engineer);Москва;https://hh.ru/vacancy/86551216;35000;35000;RUR;Базовое знание Python, а также статически типизированного языка с ООП (C#, С++, <highlighttext>Java</highlighttext> и др.), предпочтительно .NET/C#. ;Net6+ везде, многое в k8s. Монолит — не легаси, поддерживаем на актуальном стеке и активно развиваем, 30...;Mindbox;HH
Стажер в интернет-стартап;Санкт-Петербург;https://hh.ru/vacancy/86533689;;20000;RUR;Минимум полное среднее образование. Хороший письменный и устный русский язык. Желательно владение иностранным языком на уровне чтения текстов со словарем. ;Наполнение базы данных контентом: литературой на разных (в основном европейских) языках. Редактура существующих в системе текстов. Участие в проектировании визуальных...;Капинус Станислав;HH
Android разработчик;Москва;https://hh.ru/vacancy/86628844;80000;100000;RUR;Опыт разработки мобильных приложений Android от 1 года. Уверенное владение Kotlin. Знание Android SDK, Android Studio. Знание REST API, SOAP...;Реализация различных фичей в соответствии с ТЗ и макетами Figma. Анализ производительности ПО. Написание рабочей документации к разработкам. ;Dev Universe;HH
